"participant","sex","include","time","sets","leg","exercise","load"
"FP24","female","incl","week2","single","R","legext",60
"FP24","female","incl","week2","multiple","L","legext",60
"FP24","female","incl","week5","single","R","legpress",260
"FP24","female","incl","week5","multiple","L","legpress",250
"FP24","female","incl","week5","single","R","legext",67.5
"FP24","female","incl","week5","multiple","L","legext",67.5
"FP24","female","incl","week9","single","R","legpress",265
"FP24","female","incl","week9","multiple","L","legpress",270
"FP24","female","incl","week9","single","R","legext",72.5
"FP24","female","incl","week9","multiple","L","legext",75
"FP24","female","incl","post","single","R","legpress",310
"FP24","female","incl","post","multiple","L","legpress",302.5
"FP24","female","incl","post","single","R","legext",75
"FP24","female","incl","post","multiple","L","legext",82.5
"FP40","female","incl","pre","multiple","R","legpress",125
"FP40","female","incl","pre","single","L","legpress",125
"FP40","female","incl","pre","multiple","R","legext",45
"FP40","female","incl","pre","single","L","legext",40
"FP40","female","incl","session1","multiple","R","legpress",140
"FP40","female","incl","session1","single","L","legpress",142.5
"FP40","female","incl","session1","multiple","R","legext",47.5
"FP40","female","incl","session1","single","L","legext",45
"FP40","female","incl","week2","multiple","R","legpress",200
"FP40","female","incl","week2","single","L","legpress",160
"FP40","female","incl","week2","multiple","R","legext",55
"FP40","female","incl","week2","single","L","legext",52.5
"FP40","female","incl","week5","multiple","R","legpress",NA
"FP40","female","incl","week5","single","L","legpress",185
"FP40","female","incl","week5","multiple","R","legext",60
"FP40","female","incl","week5","single","L","legext",55
"FP40","female","incl","week9","multiple","R","legpress",NA
"FP40","female","incl","week9","single","L","legpress",NA
"FP40","female","incl","week9","multiple","R","legext",65
"FP40","female","incl","week9","single","L","legext",60
"FP40","female","incl","post","multiple","R","legpress",210
"FP40","female","incl","post","single","L","legpress",195
"FP40","female","incl","post","multiple","R","legext",67.5
"FP40","female","incl","post","single","L","legext",65
"FP28","female","incl","pre","single","R","legpress",140
"FP28","female","incl","pre","multiple","L","legpress",140
"FP28","female","incl","pre","single","R","legext",47.5
"FP28","female","incl","pre","multiple","L","legext",45
"FP28","female","incl","session1","single","R","legpress",160
"FP28","female","incl","session1","multiple","L","legpress",155
"FP28","female","incl","session1","single","R","legext",50
"FP28","female","incl","session1","multiple","L","legext",50
"FP28","female","incl","week2","single","R","legpress",215
"FP28","female","incl","week2","multiple","L","legpress",220
"FP28","female","incl","week2","single","R","legext",60
